"IP","Nombre del Servidor","Sistema Operativo","ESET Instalado","RAM (GB)","Cores","Nombre del Host","Unidades","Espacio Libre (GB)","Descripci?n/Nota"
"10.1.103.5","SRV-HV01-VLZ","Microsoft Windows Server 2016 Standard","True","63,74","System.Object[]","","C:, T:, V:","42,71, 49,9, 1134,5",""
"10.1.103.11","SRV-DHCP01-VLZ","Microsoft Windows Server 2012 R2 Standard","True","4","4","","C:, S:","35,54, 14,89",""
"10.1.103.12","SRV-PS01-VLZ","Microsoft Windows Server 2012 R2 Standard","True","4","4","","C:, S:","33,39, 14,66",""
"10.3.103.3","SRV-HV03-LMZ","Microsoft Windows Server 2016 Standard","True","63,75","System.Object[]","","C:, V:","127,03, 375,05",""
"10.3.103.12","SRV-PS01-LMZ","Microsoft Windows Server 2012 R2 Standard","True","4","4","","C:, S:","34,35, 14,87",""
"10.3.103.13","SRV-FS01-LMZ","Microsoft Windows Server 2012 R2 Standard","True","12","8","","C:, H:","29,59, 43,43",""
"10.6.103.5","SRV-HV01-MCT","Microsoft Windows Server 2016 Datacenter","True","63,74","System.Object[]","","C:, D:","64,41, 747,32",""
"10.6.103.11","SRV-DHCP01-MCT","Microsoft Windows Server 2016 Standard","True","4","4","","C:, W:","36,17, 4,94",""
"10.6.103.12","SRV-PS01-MCT","Microsoft Windows Server 2016 Standard","True","4","4","","C:, S:","46,1, 9,85",""
"10.6.103.14","SRV-FS01-MCT","Microsoft Windows Server 2016 Standard","True","4","4","","C:, I:","33,38, 21,11",""
"10.6.103.15","SRV-PRTG01-MCT","Microsoft Windows Server 2016 Standard","True","6","4","","C:","83.58",""
"10.6.103.16","SRV-ECG01-MCT","Microsoft Windows Server 2016 Standard","True","4","4","","C:","32.63",""
"10.7.103.101","SRV-HV01-LNC","Microsoft Windows Server 2016 Standard","False","63,67","System.Object[]","","C:, D:, E:","113,83, 19,01, 10494,81",""
"10.8.103.200","SRV-HVP01-QLM","Microsoft Windows Server 2019 Standard","False","15,72","6","","C:, U:","132,46, 793,53",""
"192.168.100.26","SRV-EDLY01-HBC","Microsoft Windows Server 2012 R2 Standard","False","6","8","","C:, L:","36,41, 43,76",""
"192.168.100.27","SRV-EDLY01-HBC","Microsoft Windows Server 2012 R2 Standard","False","6","8","","C:, L:","36,41, 43,76",""
"150.150.150.25","SRV-RDS01","Microsoft Windows Server 2012 R2 Standard","True","32","System.Object[]","srv-hv08-hbc.hbritanico.local","C:, T:, Z:","76,97, 21,2, 3,79","Servidor Remote Desktop Service 1#CLUSTER-INVARIANT#:{3b9838c0-a9c4-4be7-8d90-6c8f8bc3de15}"
"150.150.150.26","SRV-RAPP06-HBC","Microsoft Windows Server 2012 R2 Standard","True","40","8","","C:, T:","4,15, 3,57",""
"150.150.150.27","SRV-RDS02","Microsoft Windows Server 2012 R2 Standard","True","28","System.Object[]","srv-hv09-hbc.hbritanico.local","C:, T:, Z:","70,14, 19,36, 3,8","Servidor Remote Desktop Service 2#CLUSTER-INVARIANT#:{1b97c722-e711-48b9-8d55-f548e1a001cc}"
"150.150.150.29","SRV-CS01-HBC","Microsoft Windows Server 2012 R2 Standard","True","4","2","","C:, E:","10,46, 13,64",""
"150.150.150.47","SRV-RDS03","Microsoft Windows Server 2012 R2 Standard","True","28","8","srv-hv08-hbc.hbritanico.local","C:, T:, Z:","106,18, 11,79, 3,79","Servidor Remote Desktop Service 3#CLUSTER-INVARIANT#:{56bc7b0d-b9da-4199-a022-cea115d028cf}"
